,Product,Type,Unique_Aspect,CO2_Equivalent_per_Kilo,Score,Entity,food_emissions_land_use,food_emissions_farm,food_emissions_animal_feed,food_emissions_processing,food_emissions_transport,food_emissions_retail,food_emissions_packaging,Food group,GHGEs per 100g (Median)
38,Sunflower Oil,,,3.5000000000000004,C,Sunflower Oil,0.1,2.1,0.0,0.2,0.2,0.0,0.9,,
39,Tofu,,,3.0,B,Tofu,1.0,0.5,0.0,0.8,0.2,0.3,0.2,,
40,Tomatoes,,,1.4000000000000001,B,Tomatoes,0.4,0.7,0.0,0.0,0.2,0.0,0.1,,
41,Wheat & Rye,,,1.4000000000000004,B,Wheat & Rye,0.1,0.8,0.0,0.2,0.1,0.1,0.1,,
42,Wine,,,1.4,B,Wine,-0.1,0.6,0.0,0.1,0.1,0.0,0.7,,
0,Meat products,,,7.42,D,,,,,,,,,Meat products,742.0
1,"Biscuits, sweet",,,2.16,B,,,,,,,,,"Biscuits, sweet",216.0
2,Yogurt,,,2.4,B,,,,,,,,,Yogurt,240.0
3,Cakes and pastry,,,3.26,C,,,,,,,,,Cakes and pastry,326.0
4,Soft drinks,,,2.84,B,,,,,,,,,Soft drinks,284.0
5,Pasta and semolina,,,2.68,B,,,,,,,,,Pasta and semolina,268.0
6,Fish and frog products,,,5.33,D,,,,,,,,,Fish and frog products,533.0
7,Poultry,,,2.62,B,,,,,,,,,Poultry,262.0
8,Sweet rolls and brioches,,,0.57,A,,,,,,,,,Sweet rolls and brioches,57.0
9,Rice and other grains,,,5.4,D,,,,,,,,,Rice and other grains,540.0
10,"Pizzas, crepes, and savory pies",,,5.05,D,,,,,,,,,"Pizzas, crepes, and savory pies",505.0
11,Chips and snacks,,,1.16,B,,,,,,,,,Chips and snacks,116.0
12,Juices and nectars,,,2.19,B,,,,,,,,,Juices and nectars,219.0
13,Chocolate and chocolate products,,,3.1,C,,,,,,,,,Chocolate and chocolate products,310.0
14,White cheese,,,2.96,B,,,,,,,,,White cheese,296.0
15,Pasta or cereal-based dishes,,,4.24,C,,,,,,,,,Pasta or cereal-based dishes,424.0
16,Processed vegetables,,,2.17,B,,,,,,,,,Processed vegetables,217.0
17,Breakfast cereals and cereal bars,,,2.97,B,,,,,,,,,Breakfast cereals and cereal bars,297.0
18,"Sugars, honeys, syrups",,,0.9,A,,,,,,,,,"Sugars, honeys, syrups",90.0
19,Milk-based desserts,,,2.27,B,,,,,,,,,Milk-based desserts,227.0
20,Starchy tubers,,,3.23,C,,,,,,,,,Starchy tubers,323.0
21,Non-chocolate candy,,,2.53,B,,,,,,,,,Non-chocolate candy,253.0
22,"Hard, semi-hard or soft cheese",,,10.71,E,,,,,,,,,"Hard, semi-hard or soft cheese",1071.0
23,Milk,,,1.72,B,,,,,,,,,Milk,172.0
24,Meat or poultry-based dishes,,,5.29,D,,,,,,,,,Meat or poultry-based dishes,529.0
25,Eggs and egg products,,,4.49,C,,,,,,,,,Eggs and egg products,449.0
26,Breads,,,6.25,D,,,,,,,,,Breads,625.0
27,Rusks and unleavened breads,,,1.31,B,,,,,,,,,Rusks and unleavened breads,131.0
28,Fruit compotes,,,1.94,B,,,,,,,,,Fruit compotes,194.0
29,"Fish and frogs, unprocessed",,,1.36,B,,,,,,,,,"Fish and frogs, unprocessed",136.0
30,Processed or uncured cheese,,,6.54,D,,,,,,,,,Processed or uncured cheese,654.0
31,Condiments and savory sauces,,,2.11,B,,,,,,,,,Condiments and savory sauces,211.0
32,Cream and similar,,,2.56,B,,,,,,,,,Cream and similar,256.0
33,"Soups, ready-to-eat",,,2.74,B,,,,,,,,,"Soups, ready-to-eat",274.0
